city,state_code,police_force_size,all,white,non_white,black,hispanic,asian,lat,lon,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,killings,police_force_prop,count_american_indian_and_alaska_native,count_white,count_hispanic_or_latino,count_black_or_african_american,count_asian,race_prop_american_indian_and_alaska_native,race_prop_white,race_prop_hispanic_or_latino,race_prop_black_or_african_american,race_prop_asian
san antonio,TX,2955,0.624365482,0.443877551,0.713924051,0.574468085,0.739130435,0,29.468525,-98.526352,Texas,33.1,721405,748419,1469824,109089,208046,2.93,3,0.0020104447879474006,20752,1240092,937607,119542,53933,0.014118697204563267,0.8437010145432379,0.6379042660890011,0.08133082600365758,0.03669350888269616
atlanta,GA,2950,0.137288136,0.18627451,0.111398964,0.101983003,0,0,33.749788,-84.31685,Georgia,33.8,223960,239915,463875,18572,32016,2.15,3,0.006359471840474266,4606,196316,18653,245367,24268,0.009929399083804904,0.4232088385879817,0.04021126381029372,0.5289506871463218,0.05231581783885745
las vegas,NV,2830,0.374558304,0.4,0.307692308,0.387755102,0.267857143,0,36.172082,-115.122366,Nevada,37.5,310568,313201,623769,42397,127609,2.79,2,0.00453693594904524,8456,429142,204913,84987,55745,0.013556300489444008,0.6879822498392835,0.3285078290200379,0.1362475531807448,0.0893680192507162
baltimore,MD,2800,0.257142857,0.1328125,0.361842105,0.391459075,0,0,39.17185,-76.648287,Maryland,34.7,294027,327822,621849,29540,49857,2.51,2,0.0045027008164361445,7730,207274,29953,396270,20161,0.012430670468232641,0.3333188603664234,0.04816764198382566,0.6372447330461254,0.03242105398577468
boston,MA,2560,0.4765625,0.441558442,0.582677165,0.686567164,0.75,0,42.357603,-71.068432,Massachusetts,31.8,322149,347320,669469,18350,190123,2.38,0,0.003823926126527143,5580,378543,130656,189347,69976,0.008334963978914632,0.5654376827007673,0.19516362968262907,0.28283161729669337,0.10452463071479037
jacksonville,FL,2335,0.809421842,0.713780919,0.956521739,1,0.888888889,1,30.3163,-81.4175,Florida,35.7,419203,448828,868031,75432,85650,2.62,2,0.0026899960946095243,8177,543582,80064,282692,50895,0.009420170477782475,0.626224178629565,0.09223633718150619,0.325670396564178,0.05863269860177805
el paso,TX,2260,0.851769912,0.826446281,0.86102719,0,0.86102719,0,31.758411,-106.478311,Texas,33.1,332797,348339,681136,47693,159709,3.03,3,0.0033179864226821074,7359,587683,542017,34473,12370,0.010804009771910456,0.8627983251509244,0.7957544455145522,0.0506110380305842,0.018160837189636136
columbus,OH,2245,0.405345212,0.379781421,0.518072289,0.571428571,0,0,40.1444,-82.9789,Ohio,32.5,413981,435086,849067,40238,101129,2.4,3,0.0026440787358359232,11496,549468,46855,256764,48974,0.013539567548850679,0.6471432760901084,0.05518410207910565,0.30240723052479956,0.057679782631994886
cleveland,OH,2045,0.557457213,0.498127341,0.669014085,0.595959596,0.941176471,0,41.4918,-81.6757,Ohio,36,186436,201623,388059,19849,18830,2.24,2,0.0052698172185157415,6140,166958,40603,205395,10102,0.0158223362942233,0.43023870081611304,0.10463099683295582,0.5292880721745921,0.026032123981147196
tucson,AZ,2020,0.398514851,0.416666667,0.375,0,0.333333333,0,32.213873,-110.969445,Arizona,33.6,264893,266781,531674,38182,82220,2.45,0,0.003799320636329781,24409,404342,231025,33900,24689,0.04590971159018496,0.760507378581612,0.43452378713271667,0.06376087602553444,0.04643635009423067
newark,NJ,2005,0.279301746,0.207964602,0.371428571,0.519480519,0.260416667,0,40.7308,-74.1744,New Jersey,34.6,138040,143873,281913,5829,86253,2.73,0,0.00711212324369575,2268,76402,100432,144961,7349,0.008045035170424918,0.27101268831164227,0.35625175142685866,0.5142047369223839,0.02606832604385041
austin,TX,1985,0.294710327,0.194690265,0.426900585,0.25,0.453846154,0,30.210692,-97.942749,Texas,32.7,475718,456122,931840,37414,181686,2.5,3,0.0021301940247252745,10890,708171,327680,81861,78916,0.011686555631868132,0.7599705958104396,0.3516483516483517,0.08784877232142857,0.08468835851648351
memphis,TN,1970,0.464467005,0.339130435,0.640243902,0.668874172,0,0,35.0337,-89.9343,Tennessee,34.1,312237,343523,655760,31189,43318,2.55,3,0.0030041478589727948,4127,202961,46621,420983,15778,0.006293461022325241,0.3095050018299378,0.07109460778333537,0.6419772477735757,0.024060631938514092
milwaukee,WI,1960,0.721938776,0.692883895,0.784,0.931034483,0.733333333,0,43.0343,-87.9151,Wisconsin,31.6,286315,313839,600154,20615,58321,2.51,1,0.0032658284373677424,10813,297038,110335,248149,24832,0.018017042292478264,0.49493629968308134,0.18384447991682135,0.4134755412777387,0.04137604681465091
san jose,CA,1875,0.466666667,0.472340426,0.457142857,0,0.406976744,0.44,37.3894,-121.8868,California,36.5,518317,508602,1026919,27269,401493,3.13,2,0.0018258499453218803,13776,442798,331232,41721,385198,0.013414884718268918,0.43119077551394025,0.3225492955140571,0.04062735230334622,0.3751006651936521
miami,FL,1860,0.072580645,0.030612245,0.087591241,0,0.116751269,0,25.779,-80.1982,Florida,40.4,215840,225149,440989,7233,260789,2.5,1,0.004217792280533075,1571,338232,319942,87331,4613,0.0035624471358696023,0.7669851175426144,0.7255101601173726,0.19803441809206127,0.010460578381773696
denver,CO,1820,0.282967033,0.149321267,0.48951049,0.580645161,0.391752577,0,39.840562,-105.007985,Colorado,34.1,341137,341408,682545,29363,113222,2.33,1,0.002666490854082881,14008,546370,207847,72288,32491,0.0205231889472489,0.8004893450248701,0.30451765085085963,0.10590950047249632,0.04760272216483895
sacramento,CA,1820,0.07967033,0.063380282,0.1375,0.32,0,0,38.5816,-121.4933,California,33.7,237724,252991,490715,19698,112579,2.73,1,0.003708873786209918,10145,268151,150153,77439,105063,0.02067391459401078,0.5464495684867998,0.3059882008905373,0.15780850391775267,0.21410187175855638
charlotte,NC,1780,0.362359551,0.294545455,0.592592593,0.833333333,0.321428571,0,35.2269,-80.8433,North Carolina,34.3,396646,430475,827121,36046,128897,2.52,1,0.0021520430505331143,8746,446795,113731,301568,55399,0.010574027258405965,0.5401809408780578,0.13750225178661887,0.36459961722650014,0.0669781084025191
tampa,FL,1715,0.177842566,0.131914894,0.277777778,0.276595745,0.326923077,0,28.0879,-82.4593,Florida,35.3,175517,193511,369028,20636,58795,2.47,0,0.0046473438329882825,2915,257552,95154,92156,15814,0.0078991296053416,0.6979199410342847,0.2578503528187563,0.24972630803082693,0.0428531168366628
indianapolis,IN,1620,0.648148148,0.71042471,0.4,0.383333333,0,0,39.938417,-86.13894,Indiana,34.1,410615,437808,848423,42186,72456,2.53,4,0.001909424897722009,8656,553665,83426,253932,29307,0.010202457972025746,0.6525813185168248,0.09833066760330637,0.2992988167458921,0.03454291078860427
santa ana,CA,1590,0.094339623,0.058823529,0.120879121,0,0.148648649,0,33.75016,-117.857665,California,30.8,167503,167920,335423,4735,152999,4.58,2,0.004740283164839621,4838,163096,262436,5813,37651,0.014423578585845335,0.48623976292621557,0.7824031148728621,0.01733035599824699,0.1122493090813689
new orleans,LA,1560,0.5,0.324074074,0.593137255,0.62371134,0,0,29.963071,-90.160953,Louisiana,35.9,185736,203881,389617,17388,21679,2.41,2,0.00400393206661927,2496,140314,21850,234645,13349,0.0064062913065908314,0.3601331564074463,0.056080715163866056,0.6022452819050503,0.03426185202391066
oakland,CA,1530,0.094771242,0.026666667,0.16025641,0.0625,0.108108108,0.28125,37.780595,-122.216587,California,35.7,203827,215451,419278,12159,113896,2.56,1,0.0036491301713898654,8380,171599,114054,118228,75446,0.019986739108658218,0.4092726067191696,0.27202476638411743,0.28197997510005296,0.17994266334031359
orlando,FL,1530,0.117647059,0.09,0.169811321,0,0.111111111,0,28.498821,-80.58248,Florida,33.1,130940,139977,270917,12782,50558,2.42,2,0.0056474861304384736,2374,179121,89306,68081,11124,0.008762831420693423,0.6611655968433137,0.32964339631695316,0.25129836813489004,0.041060546218952665
oklahoma city,OK,1500,0.596666667,0.547325103,0.807017544,0.62962963,0,0,35.3337,-97.4922,Oklahoma,34.1,309227,322036,631263,41843,80165,2.58,4,0.0023761886883913678,41696,462306,117362,111673,33759,0.06605170903411098,0.7323508585169731,0.18591617123132514,0.1769040795991528,0.053478502620936126
seattle,WA,1445,0.117647059,0.115577889,0.122222222,0.1875,0,0,47.611435,-122.330456,Washington,35.5,345659,338784,684443,29364,119840,2.13,0,0.0021112057541679877,12804,511401,43060,61974,121507,0.0187071823365861,0.7471783625517392,0.06291247043216162,0.09054661966007396,0.17752683568975064
kansas city,MO,1440,0.777777778,0.768,0.842105263,1,0,0,39.163189,-94.569882,Missouri,35.9,228430,246931,475361,24710,37787,2.35,1,0.0030292766970786414,5796,296623,46037,147739,17061,0.01219283870574153,0.6239952373038596,0.09684639673847875,0.31079327079840374,0.03589061786726298
nashville,TN,1440,0.618055556,0.43715847,0.933333333,0.947368421,0,0,36.167028,-86.778441,Tennessee,34.1,314231,340365,654596,27942,88193,2.39,2,0.0021998301242292955,5474,432447,67526,188844,27355,0.008362409791688308,0.6606319012031848,0.10315675622826904,0.2884893888749702,0.041789134061314154
laredo,TX,1435,0.93728223,0.962962963,0.931330472,0,0.931330472,0,27.515538,-99.498579,Texas,28.8,124305,131484,255789,4921,68427,3.66,1,0.005610092693587292,1253,246442,243190,832,1963,0.00489856874220549,0.963458162782606,0.9507445589919816,0.003252680920602528,0.007674294047046589
fort worth,TX,1430,0.426573427,0.306748466,0.585365854,0.637931034,0.559322034,0,32.7469,-97.3268,Texas,32.6,414126,422843,836969,39182,143404,2.88,3,0.0017085459557044525,7504,575180,296133,167449,42053,0.008965684511612736,0.6872178061553056,0.3538159716787599,0.20006595226346496,0.050244393758908636
louisville,KY,1430,0.646853147,0.620833333,0.782608696,0.772727273,0,0,38.2435,-85.7639,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norfolk,VA,1425,0.21754386,0.267080745,0.153225806,0.106796117,0,0,36.8466,-76.2855,Virginia,30.2,128917,117476,246393,29445,16702,2.51,0,0.005783443523152037,3259,127741,18760,107893,11854,0.013226836801370169,0.518444111642782,0.07613852666268928,0.4378898751182055,0.04811013299890825
arlington,VA,1360,0.202205882,0.222222222,0.1796875,0.16,0,0,38.887103,-77.093197,Virginia,34.4,113981,115183,229164,12719,55205,2.19,1,0.005934614511877956,845,171673,35911,22372,28595,0.003687315634218289,0.7491272625717826,0.15670436892356565,0.09762440872039238,0.12477963379937512
pittsburgh,PA,1350,0.659259259,0.67965368,0.538461538,0.533333333,0,0,40.474536,-79.952524,Pennsylvania,32.9,149690,154695,304385,17728,28187,2.13,1,0.004435172561065756,2689,208863,9266,82248,21227,0.008834206679041346,0.6861803308310199,0.030441710333952068,0.270210424298175,0.06973733922499466
albuquerque,NM,1340,0.615671642,0.62962963,0.601503759,0,0.566371681,0,35.0936,-106.6423,New Mexico,36,273323,285808,559131,37443,58200,2.49,2,0.002396576115436275,32243,411847,271854,26774,25140,0.057666271410456584,0.7365840921000624,0.4862080621535919,0.04788502157812749,0.04496262950900594
jersey city,NJ,1170,0.252136752,0.206451613,0.341772152,0.303030303,0.325581395,0,40.7164,-74.038,New Jersey,34.3,131765,132512,264277,4374,109186,2.5700000000000003,0,0.004427173004082838,3356,99300,79718,65051,67610,0.012698797095471797,0.3757421190644665,0.30164562182861165,0.24614703511845526,0.25583005709918005
raleigh,NC,1150,0.269565217,0.206349206,0.56097561,0,0,0,35.772701,-78.632439,North Carolina,32.8,219184,232765,451949,16747,65125,2.42,0,0.0025445348922112894,3955,275892,51786,138242,24865,0.00875098739017013,0.6104494091147452,0.11458372515482941,0.30587964571223747,0.055017269647681485
rochester,NY,1150,0.1,0.040935673,0.271186441,0.195121951,0,0,43.1683,-77.6026,New York,31.4,100135,109673,209808,7288,17735,2.36,2,0.005481201860748875,4856,105636,38004,93072,8748,0.023144970639823077,0.5034889041409288,0.1811370395790437,0.4436055822466255,0.04169526424159231
cincinnati,OH,1145,0.227074236,0.147727273,0.490566038,0.648648649,0,0,39.091293,-84.277383,Ohio,32.7,143654,154883,298537,13699,16896,2.08,0,0.0038353704900900057,3362,162245,9121,133430,7633,0.011261585666098339,0.5434669739429283,0.030552326847258462,0.4469462746661218,0.025568020044416606
long beach,CA,1115,0.291479821,0.277227723,0.303278689,0,0.3125,0,33.7705,-118.1885,California,34.6,238159,236013,474172,17463,127764,2.78,2,0.0023514674000151845,12841,277962,207890,64948,68095,0.02708089047856052,0.5862050057784939,0.43842740608892977,0.13697139434635533,0.14360822655070313
birmingham,AL,1110,0.225225225,0.086021505,0.325581395,0.328125,0,0,33.519,-86.8014,Alabama,35.6,102122,112789,214911,13212,8258,2.21,2,0.005164928737942684,1319,51728,8940,157985,1500,0.0061374243291409,0.24069498536603523,0.041598615240727554,0.7351182582557431,0.0069796334296522745
wichita,KS,1075,0.6,0.511764706,0.933333333,0,0.896551724,0,37.6898,-97.3415,Kansas,34.6,192354,197601,389955,23978,40270,2.56,1,0.002756728340449539,8791,305910,65162,52592,25210,0.02254362682873665,0.7844751317459707,0.167101332204998,0.13486684361016016,0.06464848508161199
virginia beach,VA,1070,0.789719626,0.75625,0.888888889,0.727272727,1,0,36.8527,-75.9783,Virginia,35.4,222684,230061,452745,54995,38360,2.61,0,0.002363361274006339,4590,324924,36309,99948,38715,0.010138157240830932,0.7176755127058277,0.08019746214756651,0.2207600304807342,0.08551171189079945
